snapshot_time,trade_time,direction,price,volume
2026-06-15 08:10:29,2026-06-15T08:10:25Z,buy,10790000000.0000000000000000,0.0030370000000000
2026-06-15 08:11:29,2026-06-15T08:11:29Z,sell,10784418673.0000000000000000,0.0018410000000000
2026-06-15 08:11:29,2026-06-15T08:11:25Z,buy,10780000845.0000000000000000,0.0000700000000000
2026-06-15 08:11:29,2026-06-15T08:11:25Z,buy,10780000000.0000000000000000,0.0000370000000000
2026-06-15 08:11:29,2026-06-15T08:11:25Z,buy,10780000000.0000000000000000,0.0000920000000000
2026-06-15 08:11:39,2026-06-15T08:11:37Z,buy,10776854353.0000000000000000,0.0034700000000000
2026-06-15 08:11:49,2026-06-15T08:11:44Z,sell,10784418652.0000000000000000,0.0004610000000000
2026-06-15 08:11:59,2026-06-15T08:11:58Z,sell,10780472072.0000000000000000,0.0000010000000000
2026-06-15 08:12:09,2026-06-15T08:12:09Z,buy,10776854353.0000000000000000,0.0000050000000000
2026-06-15 08:12:09,2026-06-15T08:12:09Z,buy,10775854352.0000000000000000,0.0000460000000000
2026-06-15 08:12:09,2026-06-15T08:12:09Z,buy,10771708593.0000000000000000,0.0002470000000000
2026-06-15 08:12:29,2026-06-15T08:12:28Z,buy,10770000000.0000000000000000,0.0000920000000000
2026-06-15 08:12:39,2026-06-15T08:12:39Z,buy,10760000845.0000000000000000,0.0000700000000000
2026-06-15 08:12:39,2026-06-15T08:12:39Z,buy,10760000000.0000000000000000,0.0000920000000000
2026-06-15 08:13:19,2026-06-15T08:13:16Z,sell,10762919691.0000000000000000,0.0000940000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10750000000.0000000000000000,0.0000930000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10750000000.0000000000000000,0.0027850000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10750000000.0000000000000000,0.0013960000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10740000846.0000000000000000,0.0023950000000000
2026-06-15 08:13:19,2026-06-15T08:13:12Z,buy,10740000845.0000000000000000,0.0000700000000000
